být;to be;
a;and;
na;to;
z;of;
A;a;
Já;I;
v;in;
mít;to have;
že;that;
on;he;
ne;not;
jeho;his;
její;her;
to;it;
vy;you;
s;with;
pro;for;
dělat;to do;
ona;she;
tak jako;as;
na;on;
říct;to say;
v;at;
mu;him;
z;from;
ale;but;
mě;me;
můj;my;
jít;to go;
oni;they;
Všechno;all;
podle;by;
tento;this;
jeden;one;
ven;out;
nahoru;up;
vědět;to know;
tak;so;
a;an;
vidět;to see;
mohl;could;
nebo;or;
jim;them;
dostat;to get;
my;we;
jako;like;
přijít;to come;
muž;man;
co;what;
dělat;to make;
tam;there;
o;about;
který;which;
jejich;their;
do;into;
myslet;to think;
podívat se;to look;
kdo;who;
když;when;
vzít;to take;
čas;time;
Ne;no;
zadní;back;
může;to can;
k vůli;to will;
vaše;your;
více;more;
pak;then;
dolů;down;
dobrý;good;
přes;over;
říct;to tell;
Nyní;now;
ruka;hand;
nějaký;some;
chtít;to want;
prostě;just;
pouze;only;
než;than;
způsob;way;
dát;to give;
jiný;other;
den;day;
oko;eye;
před;before;
zeptat se;to ask;
najít;to find;
dva;two;
málo;little;
dlouho;long;
velmi;very;
cítit;to feel;
žádný;any;
věc;thing;
také;too;
tady;here;
nikdy;never;
opustit;to leave;
osoba;person;
starý;old;
hlava;head;
otočit;to turn;
znovu;again;
přes;through;
dokonce;even;
tvář;face;
hodně;much;
vypnuto;off;
nás;us;
První;first;
že jo;right;
náš;our;
jak;how;
kde;where;
po;after;
to je;its;
žena;woman;
pryč;away;
život;life;
vypadat;to seem;
zavolat;to call;
ještě pořád;still;
slyšet;to hear;
rok;year;
vlastní;own;
pracovat;to work;
by měl;should;
místo;place;
pokoj, místnost;room;
dobře;well;
stát;to stand;
muset;to must;
sám;himself;
kolem;around;
dveře;door;
může;to might;
něco;something;
zkusit;to try;
milovat;to love;
Dům;house;
noc;night;
dát;to put;
skvělý;great;
takový;such;
nechat si;to keep;
sedět;to sit;
poslední;last;
začít;to begin;
protože;because;
ty;those;
tyto;these;
slovo;word;
použít;to use;
potřebovat;to need;
otevřít;to open;
držet;to hold;
další;another;
zatímco;while;
většina;most;
mluvit;to talk;
nechat;to let;
na;upon;
daleko;far;
bez;without;
Domov;home;
usmát se;to smile;
vždy;always;
hlas;voice;
dítě;child;
otec;father;
na procházku;to walk;
mladý;young;
znamenat;to mean;
nic;nothing;
běžet;to run;
ačkoli;though;
proti;against;
matka;mother;
stejný;same;
název;name;
mluvit;to speak;
mnoho;many;
mysl;mind;
málo;few;
přinést;to bring;
světlo;light;
zavřít;to close;
boční;side;
vůbec;ever;
pohybovat;to move;
do května;to may;
příteli;friend;
každý;every;
paže;arm;
tři;three;
jednou;once;
dost;enough;
stát se;to become;
dívka;girl;
pod;under;
Nový;new;
konec;end;
žít;to live;
taky;also;
pomoci;to help;
mezi;between;
svět;world;
spadnout;to fall;
začít;to start;
každý;each;
čekat;to wait;
sledovat;to watch;
zastavit;to stop;
cokoliv;anything;
oba;both;
noha;foot;
část;part;
malý;small;
dokud;until;
opravdu;really;
odpovědět;to answer;
ukázat;to show;
chlapec;boy;
sebe;herself;
lhát;to lie;
Tak určitě;sure;
chod;course;
stát se;to happen;
věřit;to believe;
vrátit;to return;
za;behind;
bod;point;
další;next;
dosud;yet;
srdce;heart;
voda;water;
téměř;almost;
stanovit;to set;
tělo;body;
proč;why;
projít;to pass;
ráno;morning;
hodina;hour;
zvuk;sound;
potkat;to meet;
Bůh;God;
bílý;white;
pamatovat si;to remember;
druh;kind;
doufat;to hope;
dosáhnout;to reach;
zemřít;to die;
tvrdý;hard;
špatný;bad;
polovina;half;
smát se;to laugh;
rodina;family;
od té doby;since;
vysoký;high;
rezervovat;book;
hmota;matter;
krok;step;
změnit;to change;
otázka;question;
přes;across;
rozumět;to understand;
následovat;to follow;
spolu;together;
manželka;wife;
vytáhnout;to pull;
podél;along;
stůl;table;
hrát;to play;
prohrát;to lose;
velký;big;
plakat;to cry;
Černá;black;
vlasy;hair;
číst;to read;
přední;front;
poslat;to send;
docela;quite;
rozbít;to break;
moje maličkost;myself;
musí;to shall;
již;already;
minuta;minute;
temný;dark;
již brzy;soon;
lůžko;bed;
směrem k;toward;
Celý;whole;
auto;car;
okno;window;
třást;to shake;
jiný;else;
odpočinek;rest;
peníze;money;
skutečnost;fact;
syn;son;
psát;to write;
oheň;fire;
druhý;second;
zůstat;to stay;
divit;to wonder;
případ;case;
příběh;story;
řádek;line;
růst;to grow;
vzduch;air;
přát si;to wish;
myslel;thought;
růst;to rise;
nejméně;least;
plný;full;
chytit;to catch;
vést;to lead;
velký;large;
objevit se;to appear;
všechno;everything;
starat se;to care;
nést;to carry;
smrt;death;
spát;to sleep;
zabít;to kill;
myšlenka;idea;
odpovědět;to reply;
nosit;to wear;
zeď;wall;
řídit;to drive;
u;near;
kreslit;to draw;
rameno;shoulder;
týden;week;
minulost;past;
mrtvý;dead;
brzy;early;
zírat;to stare;
sama;alone;
smyslu;sense;
pusa;mouth;
spíše;rather;
nést;to bear;
čtyři;four;
pokračovat;to continue;
strom;tree;
bratr;brother;
důvod;reason;
kůň;horse;
ostatní;others;
objednat;order;
hodně;lot;
Pět;five;
na dotek;to touch;
kolo;round;
hluboký;deep;
dopis;letter;
Slečna, minout;Miss;
domnívat se;to suppose;
platnost;force;
město;town;
jíst;to eat;
Průhledná;clear;
oženit se;to marry;
hodit;to throw;
země;country;
současnost, dárek;present;
uvnitř;inside;
podlaha;floor;
platit;to pay;
kývnout;to nod;
prst;finger;
zůstat;to remain;
roztrhnout;tear;
ulice;street;
dáma;lady;
méně;less;
strach;fear;
někdo;someone;
podnikání;business;
schopný;able;
židle;chair;
zapomenout;to forget;
vybrat;to pick;
očekávat;to expect;
Červené;red;
Napájení;power;
pohled;to glance;
možná;perhaps;
krátký;short;
přízemní;ground;
skutečný;TRUE;
ret;lip;
nemovitý;real;
obléknout se;to dress;
Měsíc;month;
poslouchat;to listen;
pozdě;late;
škola;school;
buď;either;
koho;whom;
nízký;low;
mezi;among;
manžel;husband;
přidat;to add;
odlišný;different;
upustit;to drop;
pít;to drink;
učit se;to learn;
Najednou;suddenly;
papír;paper;
přistát;land;
druh;sort;
často;often;
večer;evening;
výše;above;
sto;hundred;
rozhodnout;to decide;
všimnout si;to notice;
dcera;daughter;
kancelář;office;
Studený;cold;
postava;figure;
silnice;road;
